abacate :  apakati.             
nove : thanu ni xexe. 
noventa : miloko mithanu na misexe.  
90 : miloko mithanu na misexe.  
novo : esya.  
nu : pwitipwiti.  
nuca : ekohi.  
nunca : nnakhala.  
nuvem : neeku.
olho : niitho.           
ombro : makhata.             
onda : niwimpi.          
onde? : wowi?.
ontem : nsana.               
onze : muloko ni mosa.   
11 : muloko ni mosa. 
orar : oloompa, ovekela.
ordem : yooruma.  
orelha : naaru.  
órfão : ekwaasuni.  
orgulhoso : wikupali.  
ornamentar : oreeriha.  
osso : nikhuva.  
ou : wala.  
ouro : ewooru.  
outra vez : emaara ekina.
outro : mukina.  
ouvir : wiiwa.  
ovelha : epwittipwitthi.
ovo : nooce.
baixo : orowa vathi.  
pá : epoxolo.  
paciência : ovilela.  
paciente : oleva, olevelela.
pagamento : malivelo.       
pagar : oliva.  
pai : paapa.  
país : elapo.  
palavra : nuulumo.  
palha : makutthi.  
palhota : murapattha.  
palito : mtathi.  
palma : mmeneni.  
palmeira : nikutthi.  
palpar : waapapela.  
pálpebra : iyaaphi.  
palpitar : woovava murima.  
panela : nikhalako, mwaapu.
pangolim : ekha.  
pano : ekuwo.  
pântano : nikuwa.  
pão : ephau.
papaia : paphaya.   
papaieira : mpaphaya.  
papas : mahaasa.  
papeira : matukumerya.  
papo : ecohocoho.  
para : woowi, wiira.  
paralítico : ohineetta.  
parar : weemela.
parecer-se com : olattana ni.
parede : exiri.  
parente : amusi.  
parteira : namakhaliha.  
partir : opwexa.          
passar : ovira.             
pássaro : mwaapalame.        
passo : mavalo.            
pata : nipita.          
pato : nrattha.  
patrão : patarau.  
pau-preto : mphivi.  
paz : murettele.  
pé : nnawu.  
pedaço : epantte.            
pedido : evekelo.            
pedir : oveka.           
pedir emprestado : okopha.   
pedra : nluku.             
pedra de moer : nxilo.  
pedras da lareira : matthuwa.
pegada : mavala.  
peidar : osapa.
peito : etthirima.  
peixe : ehopa.  
peixe-barba : mukhopo.  
pele de animal : esapala.
pele de pessoa : nikhuli.
pêlo de animal : manri.  
pêlo de pessoa : manri.  
pena : ninri.  
pendurar : othomeya.  
peneira : ethokwa.  
peneirar : oveera.  
pénis : elopwana.  
pensar : wuupuwela.
pente : esamulo.   
pepino : muxiri.        
pequeno : ekhaani, oyeva.
perder : orimeela.  
perdido : orimeliwa.  
perdiz : ekhwali.  
perdoar : olevelela.  
perfeito : yolikanela.  
perguntar : okoha.  
perigo : woopiha.
permitir : otthuniherya.  
perna : mwetto.  
perseguir : woomola.  
persuadir : okhupaleliha.  
perto : vakhiviru.  
perturbar : waakanyerya.  
perú : mpiru.  
pesado : olemeliwa.  
pescador : nammiserya, mutothi.
pilar : otthupula, othita.
pimento : pimento.  
pinto : mwaxaana.  
piolho : paraara.  
piorar : otepa.  
piri-piri : lokho.  
pisar : onyakela.  
piscar : esiyo.
pitão : epoma.  
planear : otthoka.  
plano : waataleya.  
planta do pé : munaani.    
planta trepadeira : murapa.
plantar : oxeya.
pobre : masikhini.            
poder : owerya.  
poderoso : iikuru, owerexa.  
poeira : ntthupi.  
poente : onkela nsuwa.  
poesia : epowesiya.  
polegar : ekatha yuulupale.  
polígamo : namaatteya.  
polir : opuputtha.  
pomar : miri sa mihokorokho.
pombo : ekhuntta.  
pontapear : mukutaaphe.  
ponte : muthato.  
pôr : opweha.  
pôr do sol : okela wa nsuwa.  
pôr ovos : orela.  
porco : ekuluwe yoolopwana.
porco-espinho : nasinyiku.  
porque : maana.
porquê? : xeeni?.  
porta : mukhora.  
portão : mukhora muulupale.
pouco : vakhaani.  
povo : atthu.  
poço : ehime.  
praia : ephareya.  
prata : eparatha.  
prato : eparatho.  
precisar : opheela.  
prego : epereku.
preguiçoso : onyonyiwa.  
prender : otthuka, otthukelela.
preparar : wetetela yoolya.   
presente : etthuvo.  
presságio : malavi.  
preto : oripa.  
preço : ehisapo.  
primeiro : oopacerya.  
primogénito : mwana omwiixutta.
primo : munna.  
prima : munna.  
prisioneiro : otthukeliwa.  
problema : mulattu.  
procurar : ophavela.  
profecia : namoona.  
profetizar : olaleya.  
proibir : okhoottiha.  
promessa : natiri.  
prostituta : namuttompe.  
proteger : waakiherya.
proteger com feitiçaria : ovireliwa.  
provar : olawiha.  
provérbio : malikanyiheryo.  
provocar : opaca.  
pulga : etothomwa.  
pulgão das plantas : axikokho.
pulmão : masasu.  
pulseira : ekakhana.          
pulso : mmoononi.  
punho : nivuru.  
qual? : tuuvi?.           
quando? : liini?               
quantos? : akavi?, ikavi?.     
quarenta : miloko mixexe.
40 : miloko mixexe.
quarto : ekwatthi.           
quatro : xexe.            
4 : xexe.   
quebrar : opwexa.              
queda de água : nreremo na maasi.  
queimadura : ovya.
punir : ottaruxa.  
pupila : erikiriki.  
pus : oru.  
puxar : opurula.  
queimar : opaha.  
queixar-se : wiixinlela.  
queixo : vareruni.  
quem? : paani?. 
quente : oviha.  
querer : otthuna.  
quiabo : nantthatto.  
quinhentos : imiya thanu.
500 : imiya thanu.
quintal : nikokoro, ekintali. 
15 : muloko ni thanu.
rã : naphulu.  
rachar : oparula.  
raiz : mutathari.
ralar : orara.  
ramo : erintta.  
ranho : kamasi.
rapaz : mmiravo. 
rápido : waakuva.  
rasgar : waahula.  
raspar : owaka.  
rastejar : wiipurula.
ratazana : etheci.          
rato : nikhule.       
realmente : ekhweeli.      
reanimar-se : ohuhumuwa.   
rebanho : nikhooto.        
rebento : ophuwa.          
rebolar : ovilikitthuwa.   
receber : waakhela.        
recomeçar : opacerya.  
reconciliar : waatana.     
recto : wookowa.       
recuperar : ovona, openuwa.
rede : ntthavi.       
rede de pesca : khavoko.  
redondo : ovilikeya.  
relâmpago : overunya.  
relatório : yoolempwa.
remar : ovura.  
remédio : murette.  
remo : ekaafi.  
reparar coisa : orehererya.  
reparar com os olhos : oweha.
repetir : otthikela.  
repolho : erapoyo.  
reputação : olemelela.  
resolver : ophuka.  
respeitar : ottittimiha.  
respirar : omumula.  
responder : waakhula.  
restos de comida : nvithe.  
reumatismo : mwamukokho.  
reunir : othukumana.  
reverso : wiithela.  
revolver : otanuxa.  
riacho : muro.
rico : thaaciri.
rim : isyo.  
rinoceronte : ncoco.  
rio : muro.  
rir : ottheya. 
rochedo : mwala.  
rodear : orukurerya. 
rodilha : ekhara.
roer : owenya.    
rolar : opirikisa.  
roncar : ongonga.  
rosnar : otturuma, mirika.
roubar : wiiya.  
roupa : ekuwo.  
ruga : ninnyaari.  
rugir : otturuma.  
rugoso : amannyaari.  
ruminar : osuwa.
sabedoria : masuwelo.  
saber : osuwela.  
sábio : musuweli.  
sabor : osiva.  
sachar : olimela.  
saciar : ovona.  
saco : esaakhu.  
saco de plástico : murupa.
sacrifício : ohela makeya.
sacudir : otatha.  
sair : okhuma.  
sal : maakha.  
sala : esala.  
saliva : isene. 
salpicar : weleela.   
saltar : otupha.  
sandália : ettamanko.  
sangrar : okhuma ephome.
sangue : ephome.  
sanguessuga : mututhu.  
santo : orera nrima.
sapato : exapatu.  
sapo : nuume.
sarampo : nancile.  
saudável : mukumi.  
se : ankha.  
seca : ethaawuni.  
seco : wuuma.  
sede : ntthona.  
seguir : otthara.  
segunda esposa : mwaattewa.
segundo : aneenli.  
segurar : ovarela.  
seio : nipele.  
seis : thanu ni emosa. 
6 : thanu ni emosa. 
seiva : ephwanyaasi.
selva : etakhwa.   
semana : esumana.  
semear : waala.  
semelhante : olattana.  
sémem : ekhalawa.  
semente : epyo.  
sempre : kweekwe.  
senil : ohiiweryawerya.
sentar-se : okilaathi.
sentir : wiimurya.     
sentir calor : oviheriwa.
separar : ophalula.
sepultura : ekhapuri.
ser : okhala. 
serrar : othikila. 
serrote : sarothi.   
servir : orumela.
sessenta : miloko mithanu na mosa.  
60 : miloko mithanu na mosa.                
seta : nivaka.  
sete : thanu ni piili.  
7 : thanu ni piili.              
setenta : moloko mithanu napiili.  
70 : moloko mithanu napiili.                      
significado : enihimaaya.             
silencioso : omaaleleya.               
sim : ayo.  
sobrancelha : makhwikwi.            
sobre : vasulu va.  
sobrinho : musulu.
sobrinha : musulu. 
sepultura : ekhapuri.  
ser : okhala.  
serrar : othikila.     
socorrer : okhaliherya.  
serrote : sarothi.       
sofrer : ohaawaa.  
servir : orumela.
sogra : maathi.  
sogro : taata.  
sol : nsuwa.
soldado : surutato.       
solo : etthaya.  
soltar : otaphula.  
soluçar : naatekhume.  
som : mukhitto.  
sombra : muuruthi.  
somente : paahi.  
sonhar : oloha.  
sopa : muhusi, sopa.
soprar : wiikuphelela.  
sorrir : otheyatheya. 
sovaco : mukaphwani.  
sozinho : meekha.  
suar : orettheela.
suave : oveya veya.
subir : owela.  
subtrair : ovukula.  
suficiente : otoxa.  
sufocar : ohimimula.  
sujo : onanara.  
sul : okuusini.  
sumo : esumu.  
suor : oretthela.
surdo : khaniiwa.
surpreender : ophwanyerya.
suspirar : omumulasa.  
sussurrar : waapa.  
sono : ovoliwa ikhove.
tabaco : soona.    
tabú : mwiikho.
tábua : ethapwa.
talvez : ohovela. 
tamanho : wuukumala.
tamarinho : nweepa.
também : navetho.   
tampa : ekhunelo.  
tampão : mukhunelo.  
tanga : mukotta.  
tangerina : nsartinya.  
tangerineira : musaratinya.  
tapar : okhuneela.  
tarde : isekuwa, makaaripi.
tartaruga : ekaha.  
tatuagem : ochora, ehuku.  
tecelão a pessoa : nathokwa. 
tecelão o pássaro : nikethe. 
tecer : otthava.
tecido : ekuwo.  
tecto : nipatho, etarato.
teia de aranha : rataasi.  
teimoso : othipelela.                
tempestade : epula ya mutaaseke.     
tempo : okathi.                     
tempo chuvoso : eyiita.              
tempo de colheita : okathi wa ohepha.  
tempo frio : okathi woorirya.  
tempo seco : elimwe.  
época chuvosa : eyiita.              
época de colheita : okathi wa ohepha.  
época fria : okathi woorirya.  
época seca : elimwe.
tempos passados : ekhalai khalai.  
tendão : etekhu.  
tentar : wehererya.  
ter : okhalana.  
ter cuidado : ephoole, woovelela.  
ter pena : woonela othunku.  
ter relações sexuais : orupihana.  
terceiro : aneeraru.  
terminar : omaliha.  
terra : etthaya.  
tesoura : etisora.  
testa : eyuuci.  
teta : nipele.
tigela : mukakasi.  
tijolo : ikixolo.  
tímido : owiisoovelela.
tinha : xilape.  
tinta : etinta.  
tio : taata.  
tirar : okumiha.  
toca : nikhuku.  
tocar : woopa.  
tôco : exa.  
todo : otheene.  
todos : otheene.
tomate : exuwaari.      
topo : vasulu.    
toranja : nlimu.        
toranjeira : mulimu.    
torcer : oripithula.  
tornozelo : ekosa.  
torrar : waarika.  
torto : okhutupuwa.
tossir : okothomola.
toupeira : nahuwo.  
toutinegra : nworokolo.  
trabalho : muteko.  
tradição : ilimalelo.  
traidor : namarukunuwela.  
transplantar : ophatteya.  
trançar : otthava.  
tranças : otthava.  
trapo : nttapwatta.  
trazer : oruuha.  
tremer : othukumela.  
3 : tthaaru.  
três : tthaaru.  
13 : moloko ni tthaaru.
treze : moloko ni tthaaru.
tribo : nloko.  
trilho : mulila, mphito.  
30 : miloko miraru.    
trinta : miloko miraru.
triste : oripiwa.           
tristeza : winiwa murima.  
triturar : okhuura.  
trocar : waakakhana.  
troco : eturuku.  
tromba : mukoko wa etthepo.  
tronco : nttoro.
tropeçar : okwattula. 
trovão : etari.  
tu : weyo.  
tubarão : namukumi.  
tubérculo : minani.  
tuberculose : elapaha.
tudo : sotheene.
tumor : muwi.  
túnica : malaya.
úlcera : nikhwatta noorupela. 
último : okiserya.           
ultrapassar : ovikana.        
um : emosa.              
1 : emosa. 
uma vez : emaara emosa.
umbigo : mutekhu.         
unha : nikarikhwa.  
untar : ottikitthela.
urina : miyoso.  
urinar : orusa.
ter vertigens : naruuryu.
vagina : nanyoko.  
vaguear : wiiseettela.  
vala : nlitti.  
vale : nikuwa.
varrer : ovela.
vassoura : nvelo.
vazio : ohiitthu.  
vedar : otekela.  
vedação : otekelela.  
veia : mutika.  
vela : eveela.  
velho : nakhulu.  
velocidade : wuupa.  
vencer : oxintta.  
vender : otumiha.             
veneno da caça : waapela.     
veneno da feitiçaria : murette woowiva.
veneno de cobra : murette.  
veneração : olemeliha.
ventilar : ovekhula.  
vento : epheyo.  
ventre : mmirimani.  
ver : woona.  
verdade : ekekhai.  
verde : ekithi.  
verde : yamathapa.
vergonha : ehaaya.  
verme : munku.  
vermelho : yoxeerya.
vespa : mwiwi.                  
vestir-se : wiiwariha.            
viagem : ekwaha.                  
viajante : nakwaha.  
viajar : weetta ekwaha.  
vida : okumi.  
viga : maampa.  
vingar-se : ekuhu.                
vinte e dois : miloko mili ni pili.  
22 : miloko mili ni pili.                                   
vinte e um : miloko mili ni emosa.  
21 : miloko mili ni emosa.
vinte : miloko mili.         
20 : miloko mili.  
violar : omutuphela.           
vir : orwa.                 
virar : orukunuwa.            
virar-se : opittuwa, osama.       
virgem : eharusi.                 
visão : moonelo.  
viscoso : onapha. 
viúva : naamukhweli.  
viúvo : naamukhweli.       
vivo : mukumi.  
vizinho : mwattamanani.  
víbora : evili.  
voar : ovava.  
você : nyuwo.  
vocês : nyuwo, nyuwosa.
voltar : otthika.  
vomitar : orapheya.  
vosso : yawinyu.  
voz : nsu, ehuula. 
xará : musina.
xima : exima.
zagaia : nivaka.
zebra : ekikiri.
zumbir : otuma.  
